SongName,VocalTracks
Linkin Park - What Ive Done.mogg_fixed.mogg_extract,12|13
Linkin Park - Wretches And Kings.mogg_fixed.mogg_extract,14|15
Lit - My Own Worst Enemy.mogg_fixed.mogg_extract,9|10
Live - I Alone.mogg_fixed.mogg_extract,6|7
Live - Lightning Crashes.mogg_fixed.mogg_extract,8|9
Living Colour - Cult of Personality (2007 Re-Recording).mogg_fixed.mogg_extract,12|13
Locksley - Don't Make Me Wait.mogg_fixed.mogg_extract,8|9
Locksley - She Does.mogg_fixed.mogg_extract,7|8
Loquillo y Trogloditas - Cadillac Solitario (live).mogg_fixed.mogg_extract,14|15
Lordi - Hard Rock Hallelujah.mogg_fixed.mogg_extract,12|13
Los Lobos - La Bamba.mogg_fixed.mogg_extract,12|13|14|15
Lostprophets - Rooftops (A Liberation Broadcast).mogg_fixed.mogg_extract,12|13
Love and Rockets - Mirror People.mogg_fixed.mogg_extract,7|8
Lush - De-Luxe.mogg_fixed.mogg_extract,9|10|11|12
Lush - Deluxe.mogg_fixed.mogg_extract,9|10|11|12
Lynyrd Skynyrd - Free Bird.mogg_fixed.mogg_extract,12|13
Lynyrd Skynyrd - Gimme Three Steps.mogg_fixed.mogg_extract,12|13
Lynyrd Skynyrd - Simple Man.mogg_fixed.mogg_extract,14|15
Lynyrd Skynyrd - Sweet Home Alabama (live).mogg_fixed.mogg_extract,12|13
Lynyrd Skynyrd - Tuesday's Gone.mogg_fixed.mogg_extract,14|15
Mötley Crüe - Don't Go Away Mad (Just Go Away).mogg_fixed.mogg_extract,8|9
Mötley Crüe - Down At The Whiskey.mogg_fixed.mogg_extract,7|8|9|10
Mötley Crüe - Dr Feelgood.mogg_fixed.mogg_extract,9|10
Mötley Crüe - Face Down In The Dirt.mogg_fixed.mogg_extract,8|9|10|11
Mötley Crüe - Girls Girls Girls.mogg_fixed.mogg_extract,14|15
Mötley Crüe - Kickstart My Heart.mogg_fixed.mogg_extract,9|10
Mötley Crüe - Looks That Kill.mogg_fixed.mogg_extract,7|8
Mötley Crüe - Rattlesnake Shake.mogg_fixed.mogg_extract,6|7|8|9|10|11
Mötley Crüe - Same Ol' Situation (S.O.S.).mogg_fixed.mogg_extract,10|11
Mötley Crüe - She Goes Down.mogg_fixed.mogg_extract,6|7|8|9|10|11
Mötley Crüe - Shout at the Devil.mogg_fixed.mogg_extract,12|13
Mötley Crüe - Slice Of Your Pie.mogg_fixed.mogg_extract,6|7|8|9|10|11
Mötley Crüe - Time For Change.mogg_fixed.mogg_extract,9|10
Mötley Crüe - Without You.mogg_fixed.mogg_extract,8|9
Maroon 5 - This Love.mogg_fixed.mogg_extract,14|15
Marvin Gaye - I Heard It Through The Grapevine.mogg_fixed.mogg_extract,14|15
Marvin Gaye and Tammi Terrell - Ain't No Mountain High Enough.mogg_fixed.mogg_extract,6|7
Mastodon - Blood And Thunder.mogg_fixed.mogg_extract,14|15
Matchbox 20 - Real World.mogg_fixed.mogg_extract,7|8
MC5's Wayne Kramer - Kick Out The Jams.mogg_fixed.mogg_extract,12|13
Megadeth - Bad Omen.mogg_fixed.mogg_extract,9|10
Megadeth - Devil's Island.mogg_fixed.mogg_extract,9|10
Megadeth - Good Mourning-Black Friday.mogg_fixed.mogg_extract,9|10
Megadeth - Hangar 18.mogg_fixed.mogg_extract,14|15
Megadeth - I Ain't Superstitious.mogg_fixed.mogg_extract,9|10
Megadeth - My Last Words.mogg_fixed.mogg_extract,9|10
Metric - Help I'm Alive.mogg_fixed.mogg_extract,10|11|12|13
Metric - Satellite Mind.mogg_fixed.mogg_extract,3|4|7|8|9|10
Metric - Sick Muse.mogg_fixed.mogg_extract,7|8|9|10
Metric - Stadium Love.mogg_fixed.mogg_extract,6|7|8|9
Michael Jackson - Beat It.mogg_fixed.mogg_extract,12|13
Michael Schenker Group - Armed & Ready.mogg_fixed.mogg_extract,9|10
Mighty Mighty Bosstones - Where'd You Go.mogg_fixed.mogg_extract,7|8|9|10
Mile Marker Zero - Laceration.mogg_fixed.mogg_extract,6|7|8|9
Miley Cyrus - 7 Things.mogg_fixed.mogg_extract,14|15
Misfits - Astro Zombies.mogg_fixed.mogg_extract,12|13
Mission Of Burma - Mica.mogg_fixed.mogg_extract,6|7|8|9|10|11
Mission Of Burma - That's How I Escaped My Certain Fate.mogg_fixed.mogg_extract,6|7|8|9|10|11
Mission Of Burma - That's When I Reach For My Revolver.mogg_fixed.mogg_extract,6|7|8|9|10|11
Modest Mouse - Float On.mogg_fixed.mogg_extract,12|13
Molly Hatchet - Flirtin' With Disaster.mogg_fixed.mogg_extract,9|10
Motörhead - Ace of Spades.mogg_fixed.mogg_extract,14|15
Motörhead - Iron Fist.mogg_fixed.mogg_extract,14|15
Motörhead - Jailbait.mogg_fixed.mogg_extract,14|15
Motörhead - Killed By Death '08.mogg_fixed.mogg_extract,6|7
Motörhead - Love Me Like A Reptile.mogg_fixed.mogg_extract,12|13
Motörhead - Overkill.mogg_fixed.mogg_extract,12|13
Mother Hips - Time We Had.mogg_fixed.mogg_extract,8|9|10|11
Motley Crue - Saints of Los Angeles.mogg_fixed.mogg_extract,8|9
Motorhead - Ace of Spades.mogg_fixed.mogg_extract,8|9
Muffs - Kids in America.mogg_fixed.mogg_extract,9|10
Muse - Assassin.mogg_fixed.mogg_extract,12|13
Muse - Butterflies And Hurricanes.mogg_fixed.mogg_extract,12|13|14|15
Muse - Hysteria.mogg_fixed.mogg_extract,8|9
Muse - Muscle Museum.mogg_fixed.mogg_extract,30|31
Muse - Starlight.mogg_fixed.mogg_extract,6|7
Muse - Supermassive Blackhole.mogg_fixed.mogg_extract,10|11
Muse - Uprising.mogg_fixed.mogg_extract,7|8
My Chemical Romance - Bulletproof Heart.mogg_fixed.mogg_extract,7|8
My Chemical Romance - I'm Not Okay (I Promise).mogg_fixed.mogg_extract,7|8
My Chemical Romance - Planetary (Go!).mogg_fixed.mogg_extract,22|23|24|25
My Chemical Romance - Teenagers.mogg_fixed.mogg_extract,7|8
My Chemical Romance - Welcome To The Black Parade.mogg_fixed.mogg_extract,7|8
Myriad - A Clean Shot.mogg_fixed.mogg_extract,10|11
Nada Surf - Hi-Speed Soul.mogg_fixed.mogg_extract,14|15
Naked Brothers Band - I Don't Want To Go To School.mogg_fixed.mogg_extract,5|6
Nancy Fullforce - RockNRola.mogg_fixed.mogg_extract,14|15
Nazareth - Hair Of The Dog.mogg_fixed.mogg_extract,6|7
Negramaro - Nuvole E Lenzuola.mogg_fixed.mogg_extract,12|13
Negrita - Mama Maè.mogg_fixed.mogg_extract,14|15
Neil Young - Rockin' In the Free World.mogg_fixed.mogg_extract,7|8
Nelly Furtado - Turn Off The Light.mogg_fixed.mogg_extract,14|15
New Pornographers - Electric Version.mogg_fixed.mogg_extract,8|9
Nickelback - Because Of You.mogg_fixed.mogg_extract,12|13
Nickelback - Burn It To The Ground.mogg_fixed.mogg_extract,8|9|10|11
Nickelback - How You Remind Me.mogg_fixed.mogg_extract,7|8
Nickelback - Rockstar.mogg_fixed.mogg_extract,8|9|10|11
Night Ranger - (You Can Still) Rock In America.mogg_fixed.mogg_extract,7|8
Night Ranger - Sister Christian.mogg_fixed.mogg_extract,14|15
Nine Inch Nails - March of the Pigs.mogg_fixed.mogg_extract,4|5|6|7
Nine Inch Nails - The Collector.mogg_fixed.mogg_extract,6|7
Nine Inch Nails - The Hand That Feeds.mogg_fixed.mogg_extract,10|11
Nine Inch Nails - The Perfect Drug.mogg_fixed.mogg_extract,6|7
Nirvana - About a Girl (Unplugged Live).mogg_fixed.mogg_extract,12|13
Nirvana - Drain You.mogg_fixed.mogg_extract,8|9|10|11
Nirvana - In Bloom.mogg_fixed.mogg_extract,8|9|10|11|12|13
Nirvana - Lounge Act.mogg_fixed.mogg_extract,10|11
Nirvana - On A Plain.mogg_fixed.mogg_extract,8|9|10|11
Nirvana - Polly.mogg_fixed.mogg_extract,5|6|7|8
Nirvana - School.mogg_fixed.mogg_extract,8|9
Nirvana - Sliver.mogg_fixed.mogg_extract,12|13
Nirvana - Smells Like Teen Spirit.mogg_fixed.mogg_extract,10|11
Nirvana - Something In The Way.mogg_fixed.mogg_extract,8|9
Nirvana - Stay Away.mogg_fixed.mogg_extract,12|13
Nirvana - Territorial Pissings.mogg_fixed.mogg_extract,9|10
No Doubt - Bathwater.mogg_fixed.mogg_extract,9|10
No Doubt - Don't Speak.mogg_fixed.mogg_extract,1|2|8|9
No Doubt - Excuse Me Mr.mogg_fixed.mogg_extract,7|8|9|10
No Doubt - Hella Good.mogg_fixed.mogg_extract,8|9
No Doubt - It's My Life.mogg_fixed.mogg_extract,9|10
No Doubt - Just A Girl.mogg_fixed.mogg_extract,8|9|10|11
No Doubt - New.mogg_fixed.mogg_extract,14|15
No Doubt - Running.mogg_fixed.mogg_extract,8|9
No Doubt - Spiderwebs.mogg_fixed.mogg_extract,12|13
No Doubt - Sunday Morning.mogg_fixed.mogg_extract,1|2|8|9|10|11
No Doubt - Underneath It All.mogg_fixed.mogg_extract,8|9|10|11
NOFX - Soul Doubt.mogg_fixed.mogg_extract,12|13
Norman Greenbaum - Spirit In The Sky.mogg_fixed.mogg_extract,5|6|9|10
Oasis - Ain't Got Nothin'.mogg_fixed.mogg_extract,14|15
Oasis - Bag It Up.mogg_fixed.mogg_extract,14|15
Oasis - Don't Look Back In Anger.mogg_fixed.mogg_extract,8|9
Oasis - Falling Down.mogg_fixed.mogg_extract,14|15
Oasis - I'm Outta Time.mogg_fixed.mogg_extract,14|15
Oasis - Live Forever.mogg_fixed.mogg_extract,9|10
Oasis - Rock N' Roll Star.mogg_fixed.mogg_extract,9|10
Oasis - Soldier On.mogg_fixed.mogg_extract,12|13
Oasis - Some Might Say.mogg_fixed.mogg_extract,12|13
Oasis - The Nature Of Reality.mogg_fixed.mogg_extract,14|15
Oasis - The Shock Of The Lightning.mogg_fixed.mogg_extract,14|15
Oasis - The Turning.mogg_fixed.mogg_extract,12|13
Oasis - To Be Where There's Life.mogg_fixed.mogg_extract,14|15
Oasis - Waiting For The Rapture.mogg_fixed.mogg_extract,14|15
Oasis - Wonderwall.mogg_fixed.mogg_extract,8|9
Oasis -The Nature Of Reality.mogg_fixed.mogg_extract,14|15
OK Go - Get Over It.mogg_fixed.mogg_extract,14|15
OK Go - Here It Goes Again.mogg_fixed.mogg_extract,14|15
OneRepublic - All The Right Moves.mogg_fixed.mogg_extract,14|15
OneRepublic - Mercy.mogg_fixed.mogg_extract,14|15
OneRepublic - Stop And Stare.mogg_fixed.mogg_extract,14|15
Opiate For The Masses - Burn You Down.mogg_fixed.mogg_extract,1|2|7|8
Orgy - Blue Monday.mogg_fixed.mogg_extract,14|15
Orianthi - Suffocated.mogg_fixed.mogg_extract,7|8
Outlaws - Green Grass and High Tides (cover).mogg_fixed.mogg_extract,8|9
Owl City - Fireflies.mogg_fixed.mogg_extract,14|15
Ozzy Osbourne - Bark at the Moon.mogg_fixed.mogg_extract,12|13
Ozzy Osbourne - Crazy Train.mogg_fixed.mogg_extract,12|13
Ozzy Osbourne - Diary Of A Madman.mogg_fixed.mogg_extract,6|7
Ozzy Osbourne - Flying High Again.mogg_fixed.mogg_extract,6|7
Ozzy Osbourne - I Don't Know.mogg_fixed.mogg_extract,6|7
Ozzy Osbourne - Mama I'm Coming Home.mogg_fixed.mogg_extract,6|7
Ozzy Osbourne - Mr. Crowley.mogg_fixed.mogg_extract,12|13
Ozzy Osbourne - Over The Mountain.mogg_fixed.mogg_extract,6|7
Ozzy Osbourne - Steal Away (The Night).mogg_fixed.mogg_extract,6|7
P.O.D. - Youth Of The Nation.mogg_fixed.mogg_extract,12|13
Panic At The Disco - Nine in the Afternoon.mogg_fixed.mogg_extract,9|10
Pantera - Cowbells from Hell (Live).mogg_fixed.mogg_extract,12|13
Pantera - I'm Broken.mogg_fixed.mogg_extract,7|8
Pantera - Walk.mogg_fixed.mogg_extract,8|9
Papa Roach - Last Resort.mogg_fixed.mogg_extract,14|15
Papa Roach - Lifeline.mogg_fixed.mogg_extract,14|15
Parachute - Back Again.mogg_fixed.mogg_extract,14|15
Paramore - Crushcrushcrush.mogg_fixed.mogg_extract,8|9|10|11
Paramore - Misery Business.mogg_fixed.mogg_extract,12|13
Paramore - That's What You Get.mogg_fixed.mogg_extract,8|9|12|13
Pat Benatar - Heartbreaker.mogg_fixed.mogg_extract,12|13
Pat Benatar - Hit Me With Your Best Shot.mogg_fixed.mogg_extract,12|13
Pat Benatar - Love Is A Battlefield.mogg_fixed.mogg_extract,12|13
Pavement - Cut Your Hair.mogg_fixed.mogg_extract,14|15
Pearl Jam - Alive.mogg_fixed.mogg_extract,10|11
Pearl Jam - Black.mogg_fixed.mogg_extract,9|10
Pearl Jam - Oceans.mogg_fixed.mogg_extract,8|9
Pearl Jam - Once.mogg_fixed.mogg_extract,8|9
Pearl Jam - Release.mogg_fixed.mogg_extract,8|9
Pepper - Wake Up.mogg_fixed.mogg_extract,6|7
Pepper - Your Face.mogg_fixed.mogg_extract,6|7
Peter Frampton - Do You Feel Like We Do (Live).mogg_fixed.mogg_extract,7|8
Peter Frampton - Show Me The Way (live).mogg_fixed.mogg_extract,14|15
Phish - Chalk Dust Torture (live).mogg_fixed.mogg_extract,14|15
Phish - Down With Disease (live).mogg_fixed.mogg_extract,14|15
Phish - Llama.mogg_fixed.mogg_extract,13|14
Phish - Sample In A Jar (live).mogg_fixed.mogg_extract,14|15
Pixies - Debaser.mogg_fixed.mogg_extract,7|8|9|10|11|12
Pixies - Gouge Away.mogg_fixed.mogg_extract,9|10
Pixies - Hey.mogg_fixed.mogg_extract,9|10|11|12
Pixies - Wave of Mutilation.mogg_fixed.mogg_extract,9|10
Placebo - Julien.mogg_fixed.mogg_extract,8|9
Placebo - The Bitter End.mogg_fixed.mogg_extract,14|15
Plain White T's - Natural Disaster.mogg_fixed.mogg_extract,6|7
Platero y Tu - Hay Poco Rock N Roll.mogg_fixed.mogg_extract,8|9|10|11
Plushgun - How We Roll.mogg_fixed.mogg_extract,6|7
Poison - Every Rose Has Its Thorn.mogg_fixed.mogg_extract,14|15
Poison - Nothin' but a Good Time.mogg_fixed.mogg_extract,12|13
Poison - Talk Dirty To Me.mogg_fixed.mogg_extract,7|8
Poison - Unskinny Bop.mogg_fixed.mogg_extract,7|8
Police - Message in a Bottle.mogg_fixed.mogg_extract,7|8|9|10
Poni Hoax - Antibodies.mogg_fixed.mogg_extract,9|10
Presidents Of The United States Of America - Dune Buggy.mogg_fixed.mogg_extract,8|9|10|11
Presidents Of The United States Of America - Lump.mogg_fixed.mogg_extract,9|10|11|12
Primus - Jerry Was A Race Car Driver.mogg_fixed.mogg_extract,8|9
Protest The Hero - Bloodmeat.mogg_fixed.mogg_extract,14|15
Public Enemy Featuring Zakk Wylde - Bring the Noise 20XX.mogg_fixed.mogg_extract,7|8
Puddle Of Mudd - Psycho.mogg_fixed.mogg_extract,7|8
Queen - Crazy Little Thing Called Love.mogg_fixed.mogg_extract,3|4|8|9
Queen - I Want It All.mogg_fixed.mogg_extract,12|13
Queen - One Vision.mogg_fixed.mogg_extract,12|13
Queen - We Will Rock You.mogg_fixed.mogg_extract,6|7
Queen & David Bowie - Under Pressure.mogg_fixed.mogg_extract,10|11
Queens Of The Stone Age - 3's & 7's.mogg_fixed.mogg_extract,5|6
Queens Of The Stone Age - Little Sister.mogg_fixed.mogg_extract,9|10
Queens Of The Stone Age - Mexicola.mogg_fixed.mogg_extract,14|15
"Queens Of the Stone Age - Sick, Sick, Sick.mogg_fixed.mogg_extract",10|11
Queensrÿche - Jet City Woman.mogg_fixed.mogg_extract,7|8
R.E.M. - Horse To Water.mogg_fixed.mogg_extract,14|15
R.E.M. - Losing My Religion.mogg_fixed.mogg_extract,7|8
R.E.M. - Man On The Moon.mogg_fixed.mogg_extract,8|9
R.E.M. - Man-Sized Wreath.mogg_fixed.mogg_extract,14|15
R.E.M. - Supernatural Superserious.mogg_fixed.mogg_extract,14|15
R.E.M. - The One I Love.mogg_fixed.mogg_extract,12|13
"R.E.M. - What's The Frequency, Kenneth.mogg_fixed.mogg_extract",5|6|7|8
Radio Futura - Escuela De Calor.mogg_fixed.mogg_extract,12|13
Radio Futura - Escuela de Calor.mogg_fixed.mogg_extract,12|13
Radiohead - My Iron Lung.mogg_fixed.mogg_extract,8|9
Radiohead - Reckoner.mogg_fixed.mogg_extract,8|9
Rage Against The Machine - Bulls On Parade.mogg_fixed.mogg_extract,0|1|6|7
Rage Against The Machine - Guerilla Radio.mogg_fixed.mogg_extract,10|11
Rage Against The Machine - Testify.mogg_fixed.mogg_extract,8|9
Ram Jam - Black Betty.mogg_fixed.mogg_extract,14|15
Rammstein - Du Hast.mogg_fixed.mogg_extract,12|13
Rammstein - Waidmanns Heil.mogg_fixed.mogg_extract,7|8
Ramones - I Wanna Be Sedated.mogg_fixed.mogg_extract,10|11
Ramones - Teenage Lobotomy.mogg_fixed.mogg_extract,7|8
Ramones - Theme from Spiderman.mogg_fixed.mogg_extract,7|8
Rancid - Ruby Soho.mogg_fixed.mogg_extract,14|15
Rascal Flatts - Me and My Gang.mogg_fixed.mogg_extract,14|15
Ratt - Round and Round.mogg_fixed.mogg_extract,12|13
Raveonettes - Last Dance.mogg_fixed.mogg_extract,10|11
Ray Parker Jr. - Ghostbusters.mogg_fixed.mogg_extract,9|10|11|12
Razorlight - Stumble and Fall.mogg_fixed.mogg_extract,8|9
Red Hot Chili Peppers - Apache Rose Peacock.mogg_fixed.mogg_extract,9|10|11|12
Red Hot Chili Peppers - Blood Sugar Sex Magik.mogg_fixed.mogg_extract,9|10|11|12
Red Hot Chili Peppers - Breaking The Girl.mogg_fixed.mogg_extract,2|3|9|10
Red Hot Chili Peppers - Funky Monks.mogg_fixed.mogg_extract,6|7
Red Hot Chili Peppers - Give It Away.mogg_fixed.mogg_extract,8|9
Red Hot Chili Peppers - I Could Have Lied.mogg_fixed.mogg_extract,9|10
Red Hot Chili Peppers - Mellowship Slinky in B Major.mogg_fixed.mogg_extract,9|10|11|12
Red Hot Chili Peppers - My Lovely Man.mogg_fixed.mogg_extract,9|10
Red Hot Chili Peppers - Naked in the Rain.mogg_fixed.mogg_extract,5|6|7|8
Red Hot Chili Peppers - Suck My Kiss.mogg_fixed.mogg_extract,7|8
Red Hot Chili Peppers - Tell Me Baby.mogg_fixed.mogg_extract,2|3|9|10|11|12
Red Hot Chili Peppers - The Greeting Song.mogg_fixed.mogg_extract,7|8
Red Hot Chili Peppers - They're Red Hot.mogg_fixed.mogg_extract,7|8
Red Hot Chili Peppers - Under the Bridge.mogg_fixed.mogg_extract,9|10
Red Rider - Lunatic Fringe.mogg_fixed.mogg_extract,7|8
REM - Orange Crush.mogg_fixed.mogg_extract,9|10|13|14
REM - The One I Love.mogg_fixed.mogg_extract,12|13
Rev Theory - Light It Up.mogg_fixed.mogg_extract,14|15
Rick Springfield - Jessie's Girl.mogg_fixed.mogg_extract,14|15
Rilo Kiley - Portions for Foxes.mogg_fixed.mogg_extract,13|14
Rise Against - Audience Of One.mogg_fixed.mogg_extract,14|15
Rise Against - Death Blossoms.mogg_fixed.mogg_extract,14|15
Rise Against - Give It All.mogg_fixed.mogg_extract,7|8|10|11
Rise Against - Re-Education (Through Labor).mogg_fixed.mogg_extract,12|13
Rise Against - Ready To Fall.mogg_fixed.mogg_extract,14|15
Rise Against - Savior.mogg_fixed.mogg_extract,7|8
Riverboat Gamblers - Don't Bury Me... I'm Still Not Dead.mogg_fixed.mogg_extract,10|11
Rob Zombie - Dragula.mogg_fixed.mogg_extract,5|6
Rob Zombie - Sick Bubblegum.mogg_fixed.mogg_extract,10|11
Rob Zombie - Werewolf Baby.mogg_fixed.mogg_extract,11|12
Robbie Williams - Advertising Space.mogg_fixed.mogg_extract,0|1
Robbie Williams and Kylie Minogue - Kids.mogg_fixed.mogg_extract,14|15
Rocky Horror Picture Show - Hot Pootatie.mogg_fixed.mogg_extract,7|8
Rocky Horror Picture Show - Sweet Transvestite.mogg_fixed.mogg_extract,7|8
Rocky Horror Picture Show - Time Warp.mogg_fixed.mogg_extract,5|6
Rogue Traders - Watching You.mogg_fixed.mogg_extract,12|13|14|15
Rolling Stones - Gimme Shelter.mogg_fixed.mogg_extract,5|6
Rose Hill Drive - Sneak Out.mogg_fixed.mogg_extract,4|5|7|8
Roxette - The Look.mogg_fixed.mogg_extract,10|11
Roy Orbison - Oh Pretty Woman.mogg_fixed.mogg_extract,14|15
Run DMC - King Of Rock.mogg_fixed.mogg_extract,8|9
Rush - Closer to the Heart.mogg_fixed.mogg_extract,4|5|6|7|8|9
Rush - Limelight.mogg_fixed.mogg_extract,3|4|5|6
Rush - Oracle The Dream.mogg_fixed.mogg_extract,7|8
Rush - Presentation.mogg_fixed.mogg_extract,7|8
Rush - Red Barchetta.mogg_fixed.mogg_extract,6|7
Rush - Soliloquy.mogg_fixed.mogg_extract,7|8
Rush - The Camera Eye.mogg_fixed.mogg_extract,5|6
Rush - The Trees.mogg_fixed.mogg_extract,6|7
Rush - Tom Sawyer.mogg_fixed.mogg_extract,5|6
Rush - Vital Signs.mogg_fixed.mogg_extract,6|7
Rush - Witch Hunt (Part III Of Fear).mogg_fixed.mogg_extract,5|6
Rush - Witch Hunt.mogg_fixed.mogg_extract,5|6
Rush - Working Man.mogg_fixed.mogg_extract,5|6
RX Bandits - It's Only Another Parsec....mogg_fixed.mogg_extract,7|8
Ryan Adams - Wonderwall.mogg_fixed.mogg_extract,2|3
Saliva - Always.mogg_fixed.mogg_extract,7|8
Samhain - Mother Of Mercy.mogg_fixed.mogg_extract,14|15
Santana - Black Magic Woman.mogg_fixed.mogg_extract,10|11
Santigold - L.E.S. Artistes.mogg_fixed.mogg_extract,14|15
Saving Abel - Addicted.mogg_fixed.mogg_extract,14|15
Scars On Broadway - They Say.mogg_fixed.mogg_extract,12|13
Scott McKeon - Broken Man.mogg_fixed.mogg_extract,14|15
Screaming Trees - Nearly Lost You.mogg_fixed.mogg_extract,7|8
Seether - Country Song.mogg_fixed.mogg_extract,10|11
Selena Gomez & The Scene - Falling Down.mogg_fixed.mogg_extract,14|15
Semi Precious Weapons - Magnetic Baby.mogg_fixed.mogg_extract,7|8
Senses Fail - The Martyr.mogg_fixed.mogg_extract,14|15
Sex Pistols - Pretty Vacant.mogg_fixed.mogg_extract,12|13
Shadows Fall - Still I Rise.mogg_fixed.mogg_extract,14|15
She Wants Revenge - Take The World.mogg_fixed.mogg_extract,10|11
Shinedown - Devour.mogg_fixed.mogg_extract,8|9
Shinedown - Junkies for Fame.mogg_fixed.mogg_extract,8|9
Shinedown - Second Chance.mogg_fixed.mogg_extract,14|15
Shinedown - Sound Of Madness.mogg_fixed.mogg_extract,14|15
Silverchair - Tomorrow.mogg_fixed.mogg_extract,6|7
Silverchair - Tuna In The Brine.mogg_fixed.mogg_extract,0|1
Silverstein - I Am The Arsonist.mogg_fixed.mogg_extract,14|15
Silversun Pickups - Lazy Eye.mogg_fixed.mogg_extract,12|13
Silversun Pickups - Panic Switch.mogg_fixed.mogg_extract,14|15
SixxAM - Life Is Beautiful.mogg_fixed.mogg_extract,7|8
Slash - Nothing To Say.mogg_fixed.mogg_extract,6|7
Slash - Watch This.mogg_fixed.mogg_extract,5|6
Slash feat. Ian Astbury - Ghost.mogg_fixed.mogg_extract,7|8
Slayer - Chemical Warfare.mogg_fixed.mogg_extract,7|8
Slayer - War Ensemble.mogg_fixed.mogg_extract,14|15
Slipknot - Before I Forget.mogg_fixed.mogg_extract,12|13
Slipknot - Psychosocial.mogg_fixed.mogg_extract,7|8
Smash Mouth - Walkin' on the Sun.mogg_fixed.mogg_extract,11|12
Smashing Pumpkins - 1979.mogg_fixed.mogg_extract,12|13
Smashing Pumpkins - Cherub Rock.mogg_fixed.mogg_extract,7|8
Smashing Pumpkins - G.L.O.W.mogg_fixed.mogg_extract,14|15
Smashing Pumpkins - Siva.mogg_fixed.mogg_extract,8|9
Smashing Pumpkins - The Everlasting Gaze.mogg_fixed.mogg_extract,14|15
Smashing Pumpkins - Today.mogg_fixed.mogg_extract,12|13
Snot - Deadfall.mogg_fixed.mogg_extract,7|8
Snow Patrol - Hands Open.mogg_fixed.mogg_extract,7|8
Snow Patrol - Take Back The City.mogg_fixed.mogg_extract,14|15
Snow Patrol - You're All I Have.mogg_fixed.mogg_extract,14|15
Social Distortion - I Was Wrong.mogg_fixed.mogg_extract,7|8
Social Distortion - Mommy's Little Monster (live).mogg_fixed.mogg_extract,14|15
Sonic Youth - Kool Thing.mogg_fixed.mogg_extract,8|9
Sonic Youth - Teen Age Riot.mogg_fixed.mogg_extract,8|9
Sonic Youth - Teenage Riot.mogg_fixed.mogg_extract,8|9
Soundgarden - Birth Ritual.mogg_fixed.mogg_extract,6|7
Soundgarden - Black Hole Sun.mogg_fixed.mogg_extract,1|2|8|9
Soundgarden - Black Rain.mogg_fixed.mogg_extract,7|8
Soundgarden - Burden In My Hand.mogg_fixed.mogg_extract,6|7
Soundgarden - Fell On Black Days.mogg_fixed.mogg_extract,6|7
Soundgarden - Hunted Down.mogg_fixed.mogg_extract,7|8
Soundgarden - Jesus Christ Pose.mogg_fixed.mogg_extract,6|7
Soundgarden - My Wave.mogg_fixed.mogg_extract,7|8
Soundgarden - Outshined.mogg_fixed.mogg_extract,6|7
Soundgarden - Rusty Cage.mogg_fixed.mogg_extract,7|8
Soundgarden - Spoonman.mogg_fixed.mogg_extract,8|9
Soundgarden -Spoonman.mogg_fixed.mogg_extract,8|9
Spice Girls - Wannabe.mogg_fixed.mogg_extract,14|15
Spinal Tap - Short and Sweet.mogg_fixed.mogg_extract,7|8
Sponge - Plowed.mogg_fixed.mogg_extract,7|8
"Sportfreunde Stiller - '54, '74, '90, 2010.mogg_fixed.mogg_extract",14|15
Squeeze - Cool for Cats.mogg_fixed.mogg_extract,10|11
Squeeze - Tempted.mogg_fixed.mogg_extract,10|11
Staind - This is It.mogg_fixed.mogg_extract,9|10
Stan Bush - The Touch.mogg_fixed.mogg_extract,14|15
Static-X - Push It.mogg_fixed.mogg_extract,9|10
Steely Dan - Black Friday.mogg_fixed.mogg_extract,14|15
Steely Dan - Do It Again.mogg_fixed.mogg_extract,12|13
Steely Dan - Kid Charlemagne.mogg_fixed.mogg_extract,14|15
Sterns - Supreme Girl.mogg_fixed.mogg_extract,7|8
Steve Harley & Cockney Rebel - Make Me Smile (Come Up and See Me).mogg_fixed.mogg_extract,7|8
Steve Miller Band - Fly Like an Eagle.mogg_fixed.mogg_extract,13|14
Steve Miller Band - Rock 'N Me.mogg_fixed.mogg_extract,1|2|8|9|12|13
Steve Miller Band - Rock'n Me.mogg_fixed.mogg_extract,8|9|10|11|12|13
Steve Miller Band - Take The Money And Run.mogg_fixed.mogg_extract,14|15
Stevie Nicks with Tom Petty - Stop Dragging My Heart Around.mogg_fixed.mogg_extract,10|11
Stevie Ray Vaughn and Double Trouble - Dirty Pool.mogg_fixed.mogg_extract,10|11
Stevie Ray Vaughn and Double Trouble - Love Struck Baby.mogg_fixed.mogg_extract,9|10
Stevie Ray Vaughn and Double Trouble - Pride And Joy.mogg_fixed.mogg_extract,10|11
Stevie Ray Vaughn and Double Trouble - Texas Flood.mogg_fixed.mogg_extract,9|10
Sting - Demolition Man (live).mogg_fixed.mogg_extract,12|13
Stone Temple Pilots - Adhesive.mogg_fixed.mogg_extract,10|11
Stone Temple Pilots - Between The Lines.mogg_fixed.mogg_extract,14|15
Stone Temple Pilots - Bi-Polar Bear.mogg_fixed.mogg_extract,14|15
Stone Temple Pilots - Huckleberry Crumble.mogg_fixed.mogg_extract,8|9
Stone Temple Pilots - Interstate Love Song.mogg_fixed.mogg_extract,1|2|8|9|10|11
